id_amat;ubicazione;linee;LONG_X_4326;LAT_Y_4326;Location
"13666";Via 25 Aprile prima di Via degli Olmi;"727,728";9.19891662521948;45.5542977273725;"(45.5542977273725, 9.19891662521948)"
"13668";Via Marconi fronte 155 prima di Via Toti;"728,729";9.19693841474607;45.5503200942821;"(45.5503200942821, 9.19693841474607)"
"13669";V.le Margherita fronte 18 dopo Via Marconi;"728,729";9.19505475316411;45.5503754897671;"(45.5503754897671, 9.19505475316411)"
"13670";"Via dei Fiori, 39 dopo Via Edera";"728,729";9.19012952971463;45.5498392252689;"(45.5498392252689, 9.19012952971463)"
"13671";V.le Unione dopo Via dei Fiori;"728,729";9.18750604517437;45.5483053830639;"(45.5483053830639, 9.18750604517437)"
"13672";V.le Unione fronte 29 dopo v.le Lombardia;"728,729";9.19061762965357;45.5488321499733;"(45.5488321499733, 9.19061762965357)"
"13673";"V.le Unione, 48 dopo Via Fondazione";"728,729";9.193886693419;45.5495242267123;"(45.5495242267123, 9.193886693419)"
"13674";"Via Marconi, 155 dopo Via Toti";"728,729";9.1968633956364;45.5502028698067;"(45.5502028698067, 9.1968633956364)"
"13676";Via 25 Aprile dopo Via Tiziano;"727,728";9.19710060188353;45.5536981438546;"(45.5536981438546, 9.19710060188353)"
"13677";"Via 25 Aprile, 133 prima di Via della Pila";"727";9.20431261401643;45.5554198283359;"(45.5554198283359, 9.20431261401643)"
"13683";Via Ferri dopo Via Gorki;"702,727";9.21927924911159;45.5437873144795;"(45.5437873144795, 9.21927924911159)"
"13685";V.le Matteotti dopo Via Como;"727";9.18412741009891;45.5507734668438;"(45.5507734668438, 9.18412741009891)"
"13686";V.le Matteotti dopo Via D'Azeglio;"708,727";9.1806684227569;45.5502659291298;"(45.5502659291298, 9.1806684227569)"
"13687";V.le Matteotti dopo Via Isonzo;"708,727";9.17669374038399;45.5497185799513;"(45.5497185799513, 9.17669374038399)"
"13688";Via Zucchi prima di Via Italia;"708,727";9.17545368606251;45.5490049170518;"(45.5490049170518, 9.17545368606251)"
"13689";Via Marconi dopo Via Manzoni;"708,727,729";9.17778601347281;45.546715091666;"(45.546715091666, 9.17778601347281)"
"13690";Via Marconi dopo Via Donizetti;"708,729";9.18188419761789;45.5473882193858;"(45.5473882193858, 9.18188419761789)"
"13691";Via Marconi dopo Via Adua;"727,729";9.18542025001809;45.548008106827;"(45.548008106827, 9.18542025001809)"
"13698";"Via Grandi, 11 prima di Via Battisti";"423";9.05597921567681;45.4865709126869;"(45.4865709126869, 9.05597921567681)"
"13701";"Via Vittorio Veneto, 30 dopo Via Dei Frati";"423";9.05599195206999;45.4777120923915;"(45.4777120923915, 9.05599195206999)"
"13702";Via Di Vittorio dopo Via Pastore;"423";9.05945957326138;45.4810902250074;"(45.4810902250074, 9.05945957326138)"
"13703";Via Di Vittorio prima di Via Leopardi;"423";9.05723248445987;45.4848549320022;"(45.4848549320022, 9.05723248445987)"
"13711";Via Volta dopo Via Colombo;"321";9.10647197742784;45.4450587907391;"(45.4450587907391, 9.10647197742784)"
"13712";"Via Milano, 43 dopo Via Buonarroti";"321";9.10238245695611;45.4439185375301;"(45.4439185375301, 9.10238245695611)"
"13713";Via Milano dopo Via Bramante;"321,322";9.09914652625175;45.4427425773906;"(45.4427425773906, 9.09914652625175)"
"13714";"Via Roma, 76 dopo Via Milano";"321,322";9.09705457023613;45.4409728337197;"(45.4409728337197, 9.09705457023613)"
"13715";"Via Roma, 110 prima di Via Fermi";"321,322";9.09917984795033;45.4391106212133;"(45.4391106212133, 9.09917984795033)"
"13716";V.le Liberazione fronte Via Copernico;"321";9.10588235581535;45.4366726811604;"(45.4366726811604, 9.10588235581535)"
"13717";"Via V. Emanuele, 46 dopo V.le Liberazione";"321";9.10899515302163;45.4341142692753;"(45.4341142692753, 9.10899515302163)"
"13718";Via Trieste prima di Via degli Aceri;"321";9.10594328686835;45.4256418079479;"(45.4256418079479, 9.10594328686835)"
"13719";"Via Lario, 1 dopo P.za della Liberta'";"321";9.10686907298801;45.4225850796492;"(45.4225850796492, 9.10686907298801)"
"13720";"Via Lario, 3";"321,351";9.1090079573324;45.4223265337408;"(45.4223265337408, 9.1090079573324)"
"13721";"Via della Resistenza, 4 dopo Via Bologna";"321";9.11301855256506;45.4216610676366;"(45.4216610676366, 9.11301855256506)"
"13722";"Via Emilia, 29 dopo Via della Resistenza";"321,352";9.11495134185212;45.4192526847565;"(45.4192526847565, 9.11495134185212)"
"13723";"Via Emilia, 10 prima di P.za S.Biagio";"321,352";9.11921724190886;45.4207416687996;"(45.4207416687996, 9.11921724190886)"
"13724";"V.le Lomellina, 12";"321,352";9.12071852763724;45.4196729719811;"(45.4196729719811, 9.12071852763724)"
"13731";"V.le Lomellina, 18 prima di Via V. Veneto";"321,352";9.12390243820243;45.4157697572235;"(45.4157697572235, 9.12390243820243)"
"13732";Via Garibaldi dopo Via De Vecchi;"321,352";9.12716279150035;45.4100846511363;"(45.4100846511363, 9.12716279150035)"
"13733";Via Verdi dopo Via Idiomi;"321,353";9.12713970743881;45.4083291363973;"(45.4083291363973, 9.12713970743881)"
"13735";Via Papa Giovanni XXIII dopo Via di Vittorio;"321,352,353";9.13395743703336;45.4040860070511;"(45.4040860070511, 9.13395743703336)"
"13736";Via Matteotti dopo Via Dei Caduti;"321,352,353";9.13539535168603;45.4068871551734;"(45.4068871551734, 9.13539535168603)"
"13737";Via Matteotti;"321,352,353";9.13628508575418;45.4085751492897;"(45.4085751492897, 9.13628508575418)"
"13738";Via Matteotti dopo Via Aldo Moro;"321,352,353";9.1334725146806;45.4097464191599;"(45.4097464191599, 9.1334725146806)"
"13739";Via Matteotti dopo Via Nenni;"321,352,353";9.1282881589333;45.4092574813259;"(45.4092574813259, 9.1282881589333)"
"13740";Via Garibaldi dopo Via Matteotti;"321,352";9.12730878913566;45.4099459708834;"(45.4099459708834, 9.12730878913566)"
"13741";V.le Lomellina dopo Via Rossa;"321,352";9.12445055270142;45.415244938933;"(45.415244938933, 9.12445055270142)"
"13742";"V.le Lomellina, 11 prima di Via F.lli Cervi";"321,352";9.12097703213601;45.4195241812135;"(45.4195241812135, 9.12097703213601)"
"13743";Via Emilia dopo Via Rosselli;"321,352";9.11807089155642;45.4204960012079;"(45.4204960012079, 9.11807089155642)"
